fcstDate,fcstTime,PCP,POP,PTY,REH,SKY,SNO,TMN,TMP,TMX,UUU,VEC,VVV,WAV,WSD
20251104,0600,강수없음,30,0,80,4,적설없음,,5,,-1,90,0,-999,1.1
20251104,0700,강수없음,20,0,80,3,적설없음,,5,,-0.9,96,0.1,-999,1
20251104,0800,강수없음,20,0,80,3,적설없음,,6,,-0.8,90,0,-999,0.9
20251104,0900,강수없음,0,0,70,1,적설없음,,8,,-0.8,90,0,-999,0.9
20251104,1000,강수없음,0,0,65,1,적설없음,,10,,-0.5,63,-0.3,-999,0.7
20251104,1100,강수없음,0,0,60,1,적설없음,,12,,-0.5,56,-0.4,-999,0.7
20251104,1200,강수없음,0,0,60,1,적설없음,,13,,-0.3,53,-0.3,-999,0.5
20251104,1300,강수없음,0,0,55,1,적설없음,,14,,0,359,-0.1,-999,0.1
20251104,1400,강수없음,0,0,55,1,적설없음,,15,,0.5,301,-0.3,-999,0.6
20251104,1500,강수없음,0,0,55,1,적설없음,,15,16.0,0.6,310,-0.5,-999,0.8
20251104,1600,강수없음,0,0,55,1,적설없음,,15,,0.7,322,-0.9,-999,1.1
20251104,1700,강수없음,0,0,65,1,적설없음,,13,,0.8,328,-1.3,-999,1.5
20251104,1800,강수없음,0,0,75,1,적설없음,,12,,0.6,338,-1.5,-999,1.6
20251104,1900,강수없음,0,0,75,1,적설없음,,11,,0.3,348,-1.4,-999,1.4
20251104,2000,강수없음,0,0,75,1,적설없음,,10,,0,360,-0.9,-999,0.9
20251104,2100,강수없음,0,0,80,1,적설없음,,9,,-0.2,23,-0.7,-999,0.8
20251104,2200,강수없음,0,0,85,1,적설없음,,9,,-0.5,56,-0.4,-999,0.7
20251104,2300,강수없음,0,0,85,1,적설없음,,8,,-0.4,45,-0.5,-999,0.7
20251105,0000,강수없음,0,0,85,1,적설없음,,8,,-0.5,41,-0.7,-999,0.9
20251105,0100,강수없음,0,0,85,1,적설없음,,7,,-0.7,49,-0.7,-999,1.1
20251105,0200,강수없음,0,0,85,1,적설없음,,7,,-0.6,41,-0.8,-999,1.1
20251105,0300,강수없음,0,0,90,1,적설없음,,7,,-0.6,35,-1,-999,1.2
20251105,0400,강수없음,0,0,90,1,적설없음,,6,,-0.6,38,-0.9,-999,1.1
20251105,0500,강수없음,0,0,90,1,적설없음,,6,,-0.6,45,-0.7,-999,1
20251105,0600,강수없음,0,0,90,1,적설없음,6.0,6,,-0.7,63,-0.4,-999,0.9
20251105,0700,강수없음,0,0,85,1,적설없음,,6,,-0.7,53,-0.6,-999,1
20251105,0800,강수없음,0,0,80,1,적설없음,,6,,-0.8,52,-0.7,-999,1.1
20251105,0900,강수없음,0,0,70,1,적설없음,,9,,-1.2,62,-0.7,-999,1.5
20251105,1000,강수없음,0,0,65,1,적설없음,,11,,-1.3,74,-0.4,-999,1.5
20251105,1100,강수없음,0,0,65,1,적설없음,,14,,-1.2,81,-0.2,-999,1.3
20251105,1200,강수없음,0,0,60,1,적설없음,,15,,-1,85,-0.1,-999,1.1
20251105,1300,강수없음,0,0,60,1,적설없음,,17,,-0.9,68,-0.4,-999,1.1
20251105,1400,강수없음,0,0,55,1,적설없음,,18,,-0.7,34,-1.2,-999,1.4
20251105,1500,강수없음,0,0,55,1,적설없음,,18,19.0,-0.5,22,-1.5,-999,1.6
20251105,1600,강수없음,0,0,55,1,적설없음,,18,,-0.1,9,-1.3,-999,1.3
20251105,1700,강수없음,0,0,70,1,적설없음,,17,,0.2,349,-1,-999,1
20251105,1800,강수없음,20,0,75,3,적설없음,,15,,0,5,-1.1,-999,1.1
20251105,1900,강수없음,20,0,80,3,적설없음,,14,,-0.3,27,-0.8,-999,0.9
20251105,2000,강수없음,20,0,80,3,적설없음,,13,,-0.2,18,-0.9,-999,0.9
20251105,2100,강수없음,20,0,80,3,적설없음,,12,,-0.5,31,-1,-999,1.2
20251105,2200,강수없음,30,0,85,4,적설없음,,12,,-1.2,62,-0.7,-999,1.5
20251105,2300,강수없음,30,0,85,4,적설없음,,11,,-1.3,60,-0.8,-999,1.6
20251106,0000,강수없음,30,0,85,4,적설없음,,10,,-1.3,63,-0.7,-999,1.6
20251106,0100,강수없음,20,0,85,3,적설없음,,10,,-1.5,69,-0.6,-999,1.7
20251106,0200,강수없음,30,0,90,4,적설없음,,9,,-0.8,61,-0.5,-999,1
20251106,0300,강수없음,20,0,95,3,적설없음,,9,,-1.1,81,-0.2,-999,1.2
20251106,0400,강수없음,20,0,95,3,적설없음,,8,,-0.9,63,-0.5,-999,1.1
20251106,0500,강수없음,0,0,95,1,적설없음,,8,,-0.5,37,-0.8,-999,1
20251106,0600,강수없음,20,0,95,3,적설없음,8.0,8,,-0.4,32,-0.8,-999,0.9
20251106,0700,강수없음,0,0,95,1,적설없음,,8,,-0.5,41,-0.7,-999,0.9
20251106,0800,강수없음,0,0,95,1,적설없음,,8,,-0.3,27,-0.8,-999,0.9
20251106,0900,강수없음,0,0,85,1,적설없음,,10,,-0.4,24,-1.1,-999,1.2
20251106,1000,강수없음,0,0,75,1,적설없음,,13,,0,360,-1.6,-999,1.6
20251106,1100,강수없음,0,0,65,1,적설없음,,15,,0.6,343,-2,-999,2.1
20251106,1200,강수없음,0,0,60,1,적설없음,,17,,0.8,342,-2.5,-999,2.6
20251106,1300,강수없음,0,0,55,1,적설없음,,18,,0.8,345,-2.9,-999,3
20251106,1400,강수없음,0,0,55,1,적설없음,,18,,1.1,339,-2.9,-999,3.1
20251106,1500,강수없음,0,0,55,1,적설없음,,18,19.0,1.1,337,-2.6,-999,2.8
20251106,1600,강수없음,0,0,55,1,적설없음,,18,,0.9,336,-2,-999,2.2
20251106,1700,강수없음,0,0,65,1,적설없음,,17,,0.7,315,-0.7,-999,1
20251106,1800,강수없음,0,0,70,1,적설없음,,15,,0.8,315,-0.8,-999,1.1
20251106,1900,강수없음,0,0,75,1,적설없음,,14,,0.7,330,-1.2,-999,1.4
20251106,2000,강수없음,0,0,75,1,적설없음,,13,,0.5,340,-1.4,-999,1.5
20251106,2100,강수없음,0,0,80,1,적설없음,,12,,0.3,349,-1.5,-999,1.5
20251106,2200,강수없음,0,0,80,1,적설없음,,12,,0.3,347,-1.3,-999,1.3
20251106,2300,강수없음,0,0,85,1,적설없음,,11,,0.1,355,-1.1,-999,1.1
20251107,0000,강수없음,0,0,90,1,적설없음,,11,,0,6,-0.9,-999,0.9
20251107,0300,0,20,0,90,3,0,,9,,-1.5,79,-0.3,-999,1
20251107,0600,0,20,0,95,3,0,9.0,9,,-1.4,79,-0.3,-999,1
20251107,0900,0,20,0,80,3,0,,10,,-2.2,90,0,-999,1
20251107,1200,0,30,0,60,4,0,,16,,-3,97,0.4,-999,1
20251107,1500,0,20,0,50,3,0,,19,20.0,-3.2,81,-0.5,-999,1
20251107,1800,0,20,0,60,3,0,,16,,-3.2,85,-0.3,-999,1
20251107,2100,0,30,0,65,4,0,,14,,-3.4,87,-0.2,-999,1
20251108,0000,0,20,0,70,3,0,,13,,-2.4,83,-0.3,-999,1
